,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,researcher,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,lattes_10_id,event_organization,participation_event,first_doc
89,f77e5a15-9478-40a1-a581-5d849c932bcf,,,,,6,,5,,1,,,,,1,,15,Miriades Augusto Da Silva,Doutorado,2,15,,2,,,,11,,,K4797418E0,8,8,2014.0
90,5fc16c8b-4951-45ca-bada-2b4e83e20fb8,,,,,,,,,,,1,,,1,2,9,Nandyara Souza Santos,Mestrado,,,,,,,,12,,,K4244219H6,1,10,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0
92,859dbbb7-696a-4e9d-86ff-1b902cef5a31,,,,1,1,2,1,,,,,,,1,4,4,Ana Isabel Leite Oliveira,Doutorado,,,,,,,,6,,2,K4710617H1,5,13,2021.0
93,fd867d37-df95-4487-8099-f5cafb0efa8d,,,,,,,,,,,,,,,,,Sylvia Maria Torres Bezerril,Doutorado,,,,,,,,,,,K4700301Y1,,1,2015.0
94,d16b6d87-4ab3-40b7-8f62-5a8362c07398,,,,,,,,,1,,,,,,2,,Elmo Maturino,Especialização,,,,,,,,4,,,K4759358Y6,2,7,
95,998f705f-2a6b-4274-bfac-c6bc98901da1,,,,3,,1,1,,,1,,,1,,11,10,Ubirajara Couto Lima,Mestrado,,,,,,,,3,,,K4772385T4,1,11,
96,76b59759-727c-4d11-aad8-7f5ed7e82f07,,,,1,,,,,,,,,,1,3,,Livia Maria Goes De Britto,Doutorado,,,,,,,,,,,K4789657H1,1,,2018.0
97,bb4806a8-88c2-4d29-bd3a-4597f36a9044,,,,1,4,2,1,,1,,,,,1,1,,Martin Domecq,Doutorado,,,,,,,,,,2,K4864456P4,,,2015.0
98,2f06c90b-b7c6-4f79-bdbd-2ca620ee6338,,4,,1,2,3,6,1,,1,2,4,2,4,14,29,Cristiane Dos Santos Namiuti,Pós-Doutorado,3,28,2,11,4,1,,,,,K4778210T2,12,51,2008.0
99,afda692d-f3f5-46d3-9ecd-4ff61286689a,,,,1,1,1,,3,1,,,,,3,1,9,Fabricio Luchesi Forgerini,Doutorado,2,6,,,,,,4,,,K4753700J7,3,5,2013.0
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,4fe1180b-1d42-49b3-8811-ddc085fbef25,,,,1,1,,1,5,1,,,,2,,3,23,Francisco Hilder Magalhães E Silva,Pós-Doutorado,1,10,,5,,,,7,,1,K4705301T2,10,17,2007.0
102,e8cdc91e-b203-44c8-9df0-0cd5ed6a9fab,,,,1,,,1,3,,7,5,19,2,2,3,93,Adriana Dias Cardoso,Pós-Doutorado,,,,8,,5,,,,1,K4765443T7,1,2,2007.0
103,a07cfd03-8e04-477f-9bc3-6cbc7155f32f,,,,1,4,8,8,1,,,,2,1,3,16,76,Tatiane Benvenuti,Pós-Doutorado,1,22,3,6,1,,,6,,,K4480840U6,6,26,2017.0
104,d7a40ae8-09f9-41b3-976b-7405198c2c84,,,,,,,,2,,,,,,,,,Patricia Araujo De Abreu Cara,Doutorado,,7,,,,,,12,,2,K4703623Z8,,10,2006.0
