,id,patent,software,brand,book,article_A1,article_A2,article_A3,article_A4,article_B1,article_B2,article_B3,article_B4,article_C,article_SQ,book_chapter,work_in_event,graduation,guidance_ic_a,guidance_ic_c,guidance_m_a,guidance_m_c,guidance_d_a,guidance_d_c,guidance_g_a,guidance_g_c,guidance_e_a,guidance_e_c,participation_event,name,first_doc,institution,ind_prod,min_book_year,min_book_chapter_year,min_article_year,min_work_in_event_year,min_text_in_newspaper_magazine_year,min_patent_year,min_guidance_year,min_software
47,e7e3f096-fd25-4f00-842a-e4b851890452,,,,,2,,1,,,,,,,,,17,Mestrado,,,,,,,,1,,,19,Graciely Rocha Braga,2023,UICL,2.75,,,2014,2011,,,2022.0,
48,f567854f-77f6-43eb-a682-09df409b0d35,,,,,,,,,,,,,,,,,Graduação,,,,,,,,,,,3,Victor Hugo de Jesus Oliveira,None,UNEB,0.0,,,,,,,,
49,ef38aae5-d2a4-46de-8b84-644492e3fa86,,1,,2,,,,,,,,3,2,,1,30,Mestrado,,3,,,,,,12,,,7,Rerison Magno Borges Pimenta,None,UNEB,0.375,2022,2022,2020,2006,,,2014.0,2021.0
50,b09e9ef5-5d56-4a66-bc8a-3173e0afcdfa,,,,3,2,2,,1,5,,,2,,4,10,77,Pós-Doutorado,9,17,6,7,,,,33,,11,129,Jânio Roberto Diniz dos Santos,2009,UESB,7.125,2010,2003,2013,1997,,,1997.0,
51,c4598f39-e128-4bd5-9d99-21d70ed2c0a3,,1,,4,,,1,1,,1,1,2,,3,5,19,Doutorado,,13,,6,,,,26,,1,26,Valter Gomes Santos de Oliveira,2014,UNEB,2.245,2006,2006,2000,1999,2000,,2004.0,2010.0
52,983a669f-3719-4028-a3f2-4773699fae25,,,,1,,,,,36,1,,,1,3,7,18,Doutorado,,10,1,,,,,42,,98,37,César Pimentel Figueirêdo Primo,2009,UESB,18.37,2012,2004,2004,2003,1993,,2000.0,
53,5925e50a-4e05-49cb-b6fa-f8bd54fd3714,,,,4,,,,3,,,1,,6,1,13,17,Doutorado,3,2,3,2,4,,,14,,2,60,Nerivaldo Alves Araújo,2015,UNEB,2.125,2016,2011,2009,2008,,,2007.0,
54,d11d8ebf-6e18-47c2-92d4-7103b757fb0f,,,,3,,1,,1,,1,1,,,1,4,5,Mestrado,,1,,,,,,6,,3,52,Gleice de Oliveira Cordeiro,None,UEFS,2.12,2007,2013,2008,2007,,,2016.0,
55,7f70f3f1-53a3-40e5-8539-cc9a43fd7c58,,,,2,1,2,,2,6,4,2,9,4,3,14,35,Doutorado,3,4,,,,,,2,,1,25,Narcísio Cabral de Araújo,2017,UFSB,10.105,2017,2016,2011,2009,,,2011.0,
56,915663af-7ee1-4af4-beac-bd3f504c57da,,,,,,6,,5,1,,1,,,1,3,91,Doutorado,3,22,12,4,,,,14,,3,62,Márcia Santos Lemos,2009,UESB,9.125,,2010,2010,2001,2021,,2001.0,
